timestamp,location,severity,cause
2023-01-07 13:15:00,Suburb,Minor,Weather
2023-01-06 16:15:00,Highway,Minor,Speeding
2023-01-07 10:30:00,Downtown,Moderate,Speeding
2023-01-06 19:45:00,Downtown,Moderate,Speeding
2023-01-09 06:00:00,Highway,Moderate,Weather
2023-01-01 07:00:00,Highway,Minor,Mechanical Failure
2023-01-09 06:30:00,Highway,Moderate,Weather
2023-01-01 12:30:00,Downtown,Minor,Weather
2023-01-01 15:15:00,Highway,Minor,Speeding
2023-01-04 22:15:00,Highway,Severe,Weather
2023-01-01 17:00:00,Highway,Severe,Weather
2023-01-07 15:45:00,Highway,Severe,Weather
2023-01-01 09:45:00,City Center,Severe,Mechanical Failure
2023-01-07 08:30:00,Downtown,Moderate,Weather
2023-01-03 10:45:00,Highway,Minor,Mechanical Failure
2023-01-08 03:15:00,Suburb,Severe,Speeding
2023-01-08 05:15:00,Suburb,Severe,Weather
2023-01-06 23:15:00,Downtown,Minor,Weather
2023-01-09 00:00:00,Highway,Moderate,Distracted Driving
2023-01-04 23:45:00,Highway,Severe,Weather
2023-01-08 22:00:00,Highway,Minor,Mechanical Failure
2023-01-04 04:00:00,Highway,Severe,Weather
2023-01-09 15:45:00,Highway,Moderate,Distracted Driving
2023-01-08 19:30:00,City Center,Moderate,Mechanical Failure
2023-01-10 13:30:00,City Center,Moderate,Weather
2023-01-01 18:00:00,Highway,Minor,Weather
2023-01-03 08:45:00,Downtown,Moderate,Weather
2023-01-01 02:15:00,City Center,Minor,Weather
2023-01-03 01:00:00,Downtown,Moderate,Speeding
2023-01-01 03:15:00,City Center,Moderate,Weather
2023-01-06 13:00:00,Highway,Minor,Distracted Driving
2023-01-02 12:30:00,Downtown,Minor,Mechanical Failure
2023-01-05 23:30:00,Downtown,Minor,Distracted Driving
2023-01-05 23:45:00,City Center,Severe,Speeding
2023-01-07 12:00:00,Suburb,Minor,Distracted Driving
2023-01-04 02:00:00,Downtown,Moderate,Distracted Driving
2023-01-08 17:30:00,Downtown,Severe,Mechanical Failure
2023-01-06 22:00:00,City Center,Severe,Mechanical Failure
2023-01-03 04:00:00,City Center,Moderate,Speeding
2023-01-07 16:00:00,Downtown,Moderate,Weather
2023-01-01 01:45:00,Downtown,Severe,Distracted Driving
2023-01-05 04:00:00,Highway,Minor,Mechanical Failure
2023-01-10 12:30:00,City Center,Moderate,Weather
2023-01-08 10:15:00,Highway,Minor,Distracted Driving
2023-01-01 10:30:00,Downtown,Moderate,Speeding
2023-01-07 07:45:00,Highway,Minor,Weather
2023-01-03 13:15:00,City Center,Severe,Mechanical Failure
2023-01-04 19:15:00,Highway,Moderate,Distracted Driving
2023-01-05 21:15:00,Highway,Severe,Distracted Driving
2023-01-08 04:15:00,Highway,Minor,Weather
2023-01-04 09:30:00,Suburb,Severe,Mechanical Failure
2023-01-03 23:30:00,Highway,Moderate,Speeding
2023-01-11 06:00:00,City Center,Severe,Mechanical Failure
2023-01-01 04:45:00,Suburb,Moderate,Distracted Driving
2023-01-08 01:30:00,Suburb,Minor,Mechanical Failure
2023-01-03 17:00:00,Downtown,Moderate,Speeding
2023-01-10 13:00:00,City Center,Severe,Weather
2023-01-03 10:30:00,Downtown,Minor,Mechanical Failure
2023-01-03 08:00:00,Highway,Severe,Distracted Driving
2023-01-09 02:00:00,City Center,Minor,Weather
2023-01-08 20:30:00,Highway,Minor,Weather
2023-01-09 15:00:00,Downtown,Severe,Weather
2023-01-08 03:15:00,City Center,Severe,Distracted Driving
2023-01-04 14:15:00,Downtown,Moderate,Weather
2023-01-07 06:30:00,Highway,Minor,Speeding
2023-01-10 09:00:00,Suburb,Moderate,Speeding
2023-01-03 07:15:00,City Center,Severe,Speeding
2023-01-10 11:00:00,Highway,Moderate,Mechanical Failure
2023-01-01 16:45:00,City Center,Moderate,Speeding
2023-01-01 18:45:00,City Center,Moderate,Speeding
2023-01-08 08:00:00,City Center,Moderate,Speeding
2023-01-08 19:45:00,Downtown,Moderate,Speeding
2023-01-02 04:45:00,Highway,Minor,Distracted Driving
2023-01-06 00:30:00,City Center,Moderate,Distracted Driving
2023-01-05 01:45:00,Suburb,Moderate,Weather
2023-01-06 09:45:00,Highway,Severe,Distracted Driving
2023-01-10 16:45:00,Downtown,Minor,Mechanical Failure
2023-01-04 21:15:00,City Center,Moderate,Speeding
2023-01-02 14:30:00,City Center,Moderate,Mechanical Failure
2023-01-09 05:00:00,Highway,Moderate,Distracted Driving
2023-01-01 13:15:00,Highway,Minor,Distracted Driving
2023-01-11 02:00:00,Suburb,Moderate,Speeding
2023-01-05 01:30:00,Highway,Severe,Speeding
2023-01-10 06:45:00,Downtown,Minor,Weather
2023-01-01 20:30:00,Highway,Minor,Speeding
2023-01-06 18:45:00,City Center,Severe,Speeding
2023-01-01 10:45:00,City Center,Severe,Speeding
2023-01-03 14:15:00,Suburb,Severe,Mechanical Failure
2023-01-10 06:15:00,Suburb,Moderate,Speeding
2023-01-08 22:45:00,Suburb,Severe,Mechanical Failure
2023-01-07 23:45:00,Highway,Severe,Mechanical Failure
2023-01-11 04:00:00,City Center,Severe,Speeding
2023-01-10 13:30:00,City Center,Minor,Mechanical Failure
2023-01-06 01:00:00,Downtown,Moderate,Distracted Driving
2023-01-06 17:15:00,City Center,Minor,Weather
2023-01-06 22:45:00,Downtown,Severe,Speeding
2023-01-01 00:45:00,Downtown,Moderate,Weather
2023-01-02 17:30:00,Downtown,Minor,Speeding
2023-01-01 11:45:00,Suburb,Moderate,Mechanical Failure
2023-01-05 17:15:00,Suburb,Severe,Distracted Driving
2023-01-01 11:00:00,Suburb,Moderate,Speeding
2023-01-05 19:15:00,Highway,Severe,Mechanical Failure
2023-01-07 01:45:00,Downtown,Minor,Distracted Driving
2023-01-07 07:30:00,Highway,Minor,Weather
2023-01-05 00:00:00,City Center,Minor,Mechanical Failure
2023-01-07 05:45:00,Suburb,Severe,Distracted Driving
2023-01-02 22:45:00,Suburb,Moderate,Distracted Driving
2023-01-01 07:45:00,City Center,Minor,Weather
2023-01-07 00:30:00,Suburb,Minor,Mechanical Failure
2023-01-08 00:00:00,Highway,Minor,Mechanical Failure
2023-01-08 18:00:00,City Center,Moderate,Speeding
2023-01-04 01:00:00,City Center,Moderate,Weather
2023-01-09 11:00:00,Downtown,Severe,Weather
2023-01-08 13:45:00,Downtown,Moderate,Distracted Driving
2023-01-06 18:15:00,Suburb,Severe,Speeding
2023-01-04 16:45:00,City Center,Moderate,Speeding
2023-01-03 10:15:00,City Center,Minor,Mechanical Failure
2023-01-10 13:15:00,City Center,Minor,Speeding
2023-01-10 18:15:00,Downtown,Minor,Speeding
2023-01-06 22:30:00,Downtown,Moderate,Weather
2023-01-05 15:45:00,Suburb,Moderate,Mechanical Failure
2023-01-03 11:45:00,Suburb,Severe,Mechanical Failure
2023-01-04 09:30:00,Downtown,Severe,Distracted Driving
2023-01-02 17:00:00,Highway,Moderate,Weather
2023-01-01 15:30:00,Downtown,Minor,Weather
2023-01-03 17:00:00,Highway,Minor,Speeding
2023-01-03 01:45:00,Suburb,Severe,Distracted Driving
2023-01-01 16:00:00,City Center,Severe,Weather
2023-01-02 15:30:00,Suburb,Minor,Distracted Driving
2023-01-10 13:45:00,City Center,Severe,Distracted Driving
2023-01-02 01:15:00,City Center,Moderate,Weather
2023-01-07 11:45:00,Highway,Severe,Weather
2023-01-02 13:15:00,City Center,Severe,Speeding
2023-01-02 15:00:00,City Center,Moderate,Mechanical Failure
2023-01-08 01:15:00,Downtown,Moderate,Weather
2023-01-04 14:45:00,Highway,Minor,Mechanical Failure
2023-01-09 23:45:00,Suburb,Minor,Mechanical Failure
2023-01-01 19:15:00,City Center,Minor,Mechanical Failure
2023-01-07 15:15:00,City Center,Minor,Speeding
2023-01-05 23:30:00,Suburb,Moderate,Mechanical Failure
2023-01-02 04:15:00,Downtown,Moderate,Speeding
2023-01-02 12:15:00,City Center,Moderate,Weather
2023-01-10 16:45:00,City Center,Severe,Mechanical Failure
2023-01-02 23:15:00,Highway,Moderate,Weather
2023-01-04 05:00:00,Suburb,Moderate,Speeding
2023-01-06 01:00:00,Suburb,Minor,Speeding
2023-01-09 14:15:00,Suburb,Moderate,Distracted Driving
2023-01-05 15:00:00,Downtown,Severe,Weather
2023-01-08 05:15:00,Downtown,Minor,Distracted Driving
2023-01-04 23:15:00,Suburb,Moderate,Weather
2023-01-10 07:30:00,Highway,Severe,Distracted Driving
2023-01-10 06:30:00,Suburb,Minor,Mechanical Failure
2023-01-07 12:00:00,Highway,Moderate,Mechanical Failure
2023-01-10 18:15:00,Downtown,Moderate,Mechanical Failure
2023-01-04 05:15:00,Highway,Severe,Mechanical Failure
2023-01-03 09:45:00,Suburb,Severe,Speeding
2023-01-04 01:30:00,Downtown,Minor,Weather
2023-01-04 11:45:00,Suburb,Minor,Distracted Driving
2023-01-08 16:00:00,Highway,Severe,Speeding
2023-01-04 17:45:00,City Center,Severe,Weather
2023-01-11 09:15:00,Downtown,Minor,Weather
2023-01-06 10:30:00,Highway,Moderate,Weather
2023-01-06 17:15:00,City Center,Minor,Mechanical Failure
2023-01-04 11:00:00,City Center,Moderate,Weather
2023-01-03 16:45:00,Highway,Minor,Mechanical Failure
2023-01-07 16:45:00,City Center,Moderate,Distracted Driving
2023-01-08 08:30:00,Suburb,Severe,Mechanical Failure
2023-01-09 20:00:00,Highway,Severe,Weather
2023-01-09 02:00:00,Suburb,Severe,Weather
2023-01-05 16:45:00,Suburb,Moderate,Weather
2023-01-03 02:30:00,City Center,Minor,Weather
2023-01-04 09:15:00,City Center,Minor,Speeding
2023-01-05 07:00:00,Downtown,Moderate,Distracted Driving
2023-01-08 14:45:00,City Center,Severe,Mechanical Failure
2023-01-01 11:15:00,Highway,Severe,Mechanical Failure
2023-01-01 20:00:00,Suburb,Moderate,Speeding
2023-01-06 11:15:00,Downtown,Minor,Distracted Driving
2023-01-08 19:30:00,Suburb,Severe,Mechanical Failure
2023-01-03 05:15:00,Downtown,Moderate,Distracted Driving
2023-01-10 03:30:00,City Center,Severe,Speeding
2023-01-05 01:30:00,Highway,Minor,Mechanical Failure
2023-01-07 15:00:00,Highway,Severe,Speeding
2023-01-10 16:45:00,Suburb,Minor,Weather
2023-01-09 18:15:00,Suburb,Moderate,Weather
2023-01-03 13:45:00,Downtown,Severe,Weather
2023-01-09 20:00:00,Highway,Moderate,Mechanical Failure
2023-01-08 14:30:00,City Center,Moderate,Weather
2023-01-02 14:30:00,Suburb,Severe,Weather
2023-01-02 00:45:00,Downtown,Minor,Mechanical Failure
2023-01-02 04:30:00,Suburb,Moderate,Weather
2023-01-09 10:30:00,Highway,Moderate,Speeding
2023-01-07 19:45:00,Downtown,Moderate,Weather
2023-01-11 03:15:00,Suburb,Minor,Weather
2023-01-10 20:15:00,Downtown,Moderate,Weather
2023-01-10 02:45:00,City Center,Moderate,Speeding
2023-01-10 15:00:00,City Center,Minor,Mechanical Failure
2023-01-09 00:45:00,Downtown,Moderate,Weather
2023-01-08 02:15:00,City Center,Moderate,Mechanical Failure
2023-01-07 07:45:00,Downtown,Moderate,Speeding
2023-01-09 04:15:00,Downtown,Minor,Speeding
2023-01-05 16:30:00,Highway,Severe,Speeding
2023-01-04 03:30:00,Suburb,Severe,Distracted Driving
2023-01-01 11:30:00,Highway,Minor,Mechanical Failure
2023-01-05 06:00:00,Suburb,Moderate,Distracted Driving
2023-01-03 01:45:00,Suburb,Minor,Distracted Driving
2023-01-02 06:45:00,Highway,Moderate,Mechanical Failure
2023-01-11 07:45:00,Suburb,Moderate,Speeding
2023-01-04 01:15:00,Suburb,Moderate,Distracted Driving
2023-01-04 02:45:00,City Center,Severe,Mechanical Failure
2023-01-11 02:00:00,City Center,Severe,Speeding
2023-01-06 17:15:00,Downtown,Severe,Weather
2023-01-08 22:00:00,City Center,Severe,Weather
2023-01-10 01:15:00,City Center,Moderate,Mechanical Failure
2023-01-09 19:15:00,City Center,Moderate,Distracted Driving
2023-01-08 04:30:00,City Center,Minor,Mechanical Failure
2023-01-02 23:30:00,City Center,Moderate,Speeding
2023-01-05 11:15:00,Suburb,Moderate,Distracted Driving
2023-01-03 13:45:00,Suburb,Severe,Mechanical Failure
2023-01-10 01:30:00,City Center,Minor,Speeding
2023-01-04 05:00:00,Highway,Moderate,Mechanical Failure
2023-01-03 16:45:00,Highway,Severe,Mechanical Failure
2023-01-01 12:00:00,Downtown,Moderate,Weather
2023-01-01 07:45:00,Suburb,Moderate,Distracted Driving
2023-01-06 18:30:00,Downtown,Minor,Mechanical Failure
2023-01-10 11:15:00,Suburb,Moderate,Weather
2023-01-05 12:15:00,City Center,Minor,Weather
2023-01-02 18:00:00,Suburb,Moderate,Distracted Driving
2023-01-02 12:30:00,Downtown,Minor,Weather
2023-01-05 13:00:00,Downtown,Minor,Distracted Driving
2023-01-08 00:00:00,Highway,Moderate,Mechanical Failure
2023-01-04 09:45:00,City Center,Severe,Distracted Driving
2023-01-01 00:00:00,Highway,Severe,Weather
2023-01-08 09:45:00,Downtown,Severe,Weather
2023-01-04 14:15:00,City Center,Moderate,Mechanical Failure
2023-01-02 17:45:00,Highway,Minor,Distracted Driving
2023-01-01 15:30:00,Suburb,Minor,Speeding
2023-01-10 14:00:00,Downtown,Moderate,Mechanical Failure
2023-01-07 03:00:00,Suburb,Moderate,Distracted Driving
2023-01-11 05:15:00,Highway,Minor,Distracted Driving
2023-01-04 07:15:00,Highway,Moderate,Speeding
2023-01-06 17:45:00,Highway,Minor,Distracted Driving
2023-01-06 01:15:00,Highway,Severe,Weather
2023-01-05 02:30:00,City Center,Minor,Distracted Driving
2023-01-07 04:30:00,Downtown,Minor,Mechanical Failure
2023-01-02 04:15:00,Highway,Minor,Speeding
2023-01-10 07:00:00,Downtown,Minor,Distracted Driving
2023-01-10 07:45:00,Highway,Minor,Weather
2023-01-01 00:00:00,Downtown,Severe,Mechanical Failure
2023-01-03 07:15:00,Downtown,Minor,Distracted Driving
2023-01-06 23:45:00,Suburb,Minor,Mechanical Failure
2023-01-03 19:45:00,Highway,Moderate,Mechanical Failure
2023-01-06 22:30:00,City Center,Minor,Weather
2023-01-08 08:30:00,City Center,Severe,Distracted Driving
2023-01-06 16:45:00,Suburb,Severe,Distracted Driving
2023-01-02 08:30:00,Downtown,Moderate,Mechanical Failure
2023-01-03 14:30:00,City Center,Severe,Speeding
2023-01-09 11:30:00,Suburb,Minor,Distracted Driving
2023-01-03 09:15:00,Highway,Severe,Distracted Driving
2023-01-03 11:00:00,Suburb,Severe,Distracted Driving
2023-01-10 05:30:00,Highway,Minor,Mechanical Failure
2023-01-05 07:15:00,Suburb,Minor,Mechanical Failure
2023-01-06 09:00:00,City Center,Severe,Distracted Driving
2023-01-09 05:45:00,Suburb,Moderate,Mechanical Failure
2023-01-03 16:15:00,City Center,Minor,Mechanical Failure
2023-01-01 09:15:00,City Center,Severe,Weather
2023-01-05 17:30:00,Downtown,Minor,Mechanical Failure
2023-01-03 17:45:00,Downtown,Severe,Distracted Driving
2023-01-11 07:45:00,Highway,Minor,Mechanical Failure
2023-01-07 11:15:00,Suburb,Minor,Mechanical Failure
2023-01-08 13:00:00,City Center,Severe,Distracted Driving
2023-01-01 19:15:00,Highway,Moderate,Mechanical Failure
2023-01-06 21:30:00,Suburb,Minor,Mechanical Failure
2023-01-08 10:45:00,Highway,Severe,Mechanical Failure
2023-01-03 13:45:00,Highway,Moderate,Mechanical Failure
2023-01-01 20:30:00,Downtown,Moderate,Distracted Driving
2023-01-02 06:45:00,City Center,Moderate,Weather
2023-01-02 06:30:00,Highway,Minor,Speeding
2023-01-01 09:30:00,Highway,Moderate,Weather
2023-01-03 07:30:00,Suburb,Moderate,Speeding
2023-01-01 12:15:00,Suburb,Moderate,Mechanical Failure
2023-01-08 14:15:00,Suburb,Moderate,Mechanical Failure
2023-01-07 12:00:00,Suburb,Severe,Speeding
2023-01-07 11:00:00,Downtown,Minor,Distracted Driving
2023-01-05 05:15:00,Highway,Severe,Distracted Driving
2023-01-10 08:00:00,Downtown,Severe,Mechanical Failure
2023-01-08 19:15:00,Highway,Moderate,Weather
2023-01-03 21:00:00,Suburb,Moderate,Weather
2023-01-01 22:45:00,Downtown,Minor,Speeding
2023-01-04 02:15:00,Downtown,Severe,Mechanical Failure
2023-01-06 07:15:00,City Center,Severe,Weather
2023-01-03 03:15:00,Highway,Severe,Mechanical Failure
2023-01-02 10:45:00,City Center,Minor,Weather
2023-01-03 06:30:00,Downtown,Severe,Mechanical Failure
2023-01-08 11:00:00,Downtown,Minor,Mechanical Failure
2023-01-05 07:00:00,City Center,Severe,Mechanical Failure
2023-01-09 08:45:00,Highway,Severe,Mechanical Failure
2023-01-06 14:45:00,Suburb,Minor,Distracted Driving
2023-01-11 01:45:00,Downtown,Minor,Mechanical Failure
2023-01-05 20:00:00,Suburb,Minor,Distracted Driving
2023-01-08 08:45:00,Suburb,Minor,Weather
2023-01-05 00:15:00,Downtown,Moderate,Distracted Driving
2023-01-08 12:00:00,Highway,Severe,Weather
2023-01-03 09:00:00,Downtown,Severe,Mechanical Failure
2023-01-01 20:15:00,Downtown,Moderate,Speeding
2023-01-09 02:45:00,Suburb,Moderate,Weather
2023-01-05 13:00:00,Highway,Moderate,Weather
2023-01-10 23:30:00,Highway,Severe,Distracted Driving
2023-01-09 17:00:00,Highway,Minor,Distracted Driving
2023-01-06 04:00:00,City Center,Severe,Mechanical Failure
2023-01-08 05:00:00,Downtown,Minor,Distracted Driving
2023-01-11 07:00:00,City Center,Minor,Mechanical Failure
2023-01-07 14:45:00,City Center,Moderate,Speeding
2023-01-09 03:30:00,Highway,Moderate,Weather
2023-01-03 12:15:00,City Center,Moderate,Speeding
2023-01-03 03:00:00,Suburb,Severe,Mechanical Failure
2023-01-02 07:00:00,Suburb,Moderate,Speeding
2023-01-11 05:00:00,Highway,Moderate,Mechanical Failure
2023-01-01 04:45:00,Highway,Minor,Distracted Driving
2023-01-03 12:45:00,Downtown,Severe,Weather
2023-01-10 09:45:00,Highway,Severe,Speeding
2023-01-06 17:45:00,Downtown,Severe,Distracted Driving
2023-01-10 08:15:00,Suburb,Severe,Speeding
2023-01-02 04:45:00,Downtown,Moderate,Speeding
2023-01-08 13:45:00,Highway,Moderate,Weather
2023-01-04 20:45:00,City Center,Moderate,Mechanical Failure
2023-01-02 10:00:00,City Center,Minor,Speeding
2023-01-05 19:15:00,City Center,Minor,Mechanical Failure
2023-01-10 07:15:00,City Center,Severe,Mechanical Failure
2023-01-06 14:00:00,City Center,Moderate,Mechanical Failure
2023-01-05 02:30:00,Highway,Moderate,Weather
2023-01-04 13:00:00,Highway,Minor,Mechanical Failure
2023-01-08 15:45:00,City Center,Moderate,Speeding
2023-01-06 16:45:00,City Center,Moderate,Speeding
2023-01-11 05:45:00,Suburb,Severe,Weather
2023-01-06 21:30:00,Downtown,Severe,Distracted Driving
2023-01-02 07:30:00,City Center,Minor,Weather
2023-01-08 19:30:00,Highway,Moderate,Mechanical Failure
2023-01-01 13:45:00,Highway,Moderate,Distracted Driving
2023-01-04 01:00:00,City Center,Severe,Mechanical Failure
2023-01-07 09:15:00,City Center,Moderate,Speeding
2023-01-07 04:30:00,Downtown,Severe,Speeding
2023-01-08 12:15:00,City Center,Severe,Weather
2023-01-06 23:15:00,Downtown,Severe,Weather
2023-01-09 02:00:00,Highway,Moderate,Mechanical Failure
2023-01-06 03:30:00,City Center,Severe,Speeding
2023-01-05 18:00:00,Highway,Moderate,Weather
2023-01-09 17:30:00,Suburb,Minor,Weather
2023-01-01 00:45:00,Highway,Moderate,Distracted Driving
2023-01-10 16:00:00,City Center,Minor,Speeding
2023-01-09 11:30:00,City Center,Moderate,Speeding
2023-01-05 10:45:00,Suburb,Minor,Distracted Driving
2023-01-08 02:15:00,City Center,Minor,Weather
2023-01-05 22:45:00,Suburb,Minor,Mechanical Failure
2023-01-05 17:15:00,Downtown,Minor,Mechanical Failure
2023-01-06 11:00:00,Highway,Minor,Speeding
2023-01-08 07:00:00,Suburb,Moderate,Distracted Driving
2023-01-02 11:15:00,Highway,Moderate,Speeding
2023-01-02 04:15:00,Suburb,Moderate,Weather
2023-01-06 17:15:00,Downtown,Severe,Speeding
2023-01-02 14:30:00,Highway,Minor,Speeding
2023-01-03 04:30:00,Suburb,Minor,Speeding
2023-01-08 03:15:00,Suburb,Severe,Weather
2023-01-09 18:00:00,City Center,Severe,Mechanical Failure
2023-01-08 09:15:00,Highway,Minor,Mechanical Failure
2023-01-10 14:15:00,Downtown,Moderate,Speeding
2023-01-03 12:15:00,City Center,Severe,Mechanical Failure
2023-01-10 02:45:00,Highway,Moderate,Speeding
2023-01-06 18:45:00,Downtown,Severe,Distracted Driving
2023-01-04 06:15:00,City Center,Minor,Distracted Driving
2023-01-04 00:15:00,Downtown,Minor,Weather
2023-01-03 05:30:00,Downtown,Severe,Weather
2023-01-02 05:45:00,City Center,Severe,Speeding
2023-01-11 07:45:00,City Center,Moderate,Distracted Driving
2023-01-10 18:00:00,Downtown,Moderate,Distracted Driving
2023-01-06 06:15:00,Highway,Minor,Weather
2023-01-08 21:00:00,Suburb,Moderate,Weather
2023-01-03 03:00:00,Highway,Moderate,Weather
2023-01-05 15:30:00,Highway,Severe,Distracted Driving
2023-01-01 15:00:00,City Center,Moderate,Distracted Driving
2023-01-03 07:15:00,Highway,Severe,Weather
2023-01-05 11:15:00,Highway,Severe,Speeding
2023-01-01 20:00:00,Suburb,Severe,Speeding
2023-01-07 23:00:00,Downtown,Minor,Weather
2023-01-03 00:15:00,Downtown,Severe,Distracted Driving
2023-01-01 01:15:00,Highway,Moderate,Mechanical Failure
2023-01-07 20:00:00,Suburb,Severe,Speeding
2023-01-05 04:00:00,Downtown,Minor,Mechanical Failure
2023-01-01 09:45:00,City Center,Moderate,Weather
2023-01-05 00:15:00,Downtown,Moderate,Mechanical Failure
2023-01-06 13:00:00,City Center,Minor,Mechanical Failure
2023-01-02 08:15:00,Downtown,Minor,Speeding
2023-01-06 21:30:00,Suburb,Moderate,Mechanical Failure
2023-01-03 15:30:00,City Center,Severe,Mechanical Failure
2023-01-10 17:45:00,Highway,Moderate,Distracted Driving
2023-01-01 12:45:00,Suburb,Moderate,Weather
2023-01-09 02:30:00,Suburb,Severe,Weather
2023-01-09 03:45:00,Highway,Moderate,Distracted Driving
2023-01-01 11:15:00,Suburb,Minor,Speeding
2023-01-11 00:00:00,Highway,Moderate,Mechanical Failure
2023-01-11 08:00:00,City Center,Minor,Mechanical Failure
2023-01-01 21:15:00,Highway,Minor,Weather
2023-01-03 19:45:00,Downtown,Minor,Mechanical Failure
2023-01-01 13:00:00,City Center,Moderate,Speeding
2023-01-05 09:15:00,Suburb,Minor,Weather
2023-01-02 17:15:00,City Center,Severe,Weather
2023-01-04 11:00:00,City Center,Severe,Distracted Driving
2023-01-01 15:15:00,City Center,Minor,Mechanical Failure
2023-01-03 20:30:00,Highway,Severe,Speeding
2023-01-02 11:00:00,City Center,Moderate,Mechanical Failure
2023-01-07 09:15:00,Highway,Minor,Speeding
2023-01-07 14:30:00,Highway,Moderate,Speeding
2023-01-06 12:45:00,Highway,Moderate,Distracted Driving
2023-01-09 23:15:00,Suburb,Severe,Weather
2023-01-05 16:45:00,Highway,Moderate,Distracted Driving
2023-01-01 15:30:00,Downtown,Moderate,Weather
2023-01-09 03:00:00,Downtown,Severe,Weather
2023-01-04 14:30:00,City Center,Severe,Speeding
2023-01-09 22:15:00,City Center,Moderate,Distracted Driving
2023-01-08 20:00:00,Highway,Severe,Mechanical Failure
2023-01-10 15:15:00,Suburb,Severe,Weather
2023-01-08 03:45:00,Downtown,Minor,Mechanical Failure
2023-01-09 03:30:00,Suburb,Moderate,Mechanical Failure
2023-01-10 04:30:00,City Center,Moderate,Distracted Driving
2023-01-03 01:00:00,Highway,Severe,Weather
2023-01-05 13:15:00,Downtown,Moderate,Distracted Driving
2023-01-06 23:15:00,Downtown,Severe,Mechanical Failure
2023-01-01 14:30:00,Highway,Severe,Weather
2023-01-07 00:30:00,Suburb,Minor,Mechanical Failure
2023-01-10 03:15:00,Suburb,Minor,Mechanical Failure
2023-01-04 11:45:00,Suburb,Minor,Distracted Driving
2023-01-03 11:00:00,Highway,Minor,Weather
2023-01-05 22:00:00,Downtown,Severe,Mechanical Failure
2023-01-06 22:00:00,City Center,Severe,Mechanical Failure
2023-01-05 00:15:00,Downtown,Severe,Distracted Driving
2023-01-06 23:15:00,Downtown,Moderate,Distracted Driving
2023-01-03 05:45:00,Highway,Moderate,Weather
2023-01-09 00:00:00,Suburb,Moderate,Weather
2023-01-07 14:00:00,Suburb,Minor,Distracted Driving
2023-01-10 00:30:00,City Center,Severe,Mechanical Failure
2023-01-01 10:00:00,Downtown,Moderate,Speeding
2023-01-07 10:15:00,Suburb,Moderate,Speeding
2023-01-04 01:15:00,Suburb,Moderate,Weather
2023-01-03 06:30:00,City Center,Severe,Mechanical Failure
2023-01-10 17:00:00,Highway,Moderate,Speeding
2023-01-02 19:15:00,Highway,Minor,Mechanical Failure
2023-01-07 13:45:00,Downtown,Minor,Mechanical Failure
2023-01-10 17:30:00,Highway,Minor,Weather
2023-01-10 12:00:00,City Center,Moderate,Weather
2023-01-07 02:30:00,City Center,Minor,Mechanical Failure
2023-01-07 00:45:00,City Center,Minor,Speeding
2023-01-11 02:15:00,Highway,Moderate,Speeding
2023-01-10 05:45:00,Downtown,Moderate,Weather
2023-01-08 22:30:00,Downtown,Minor,Speeding
2023-01-08 07:15:00,Suburb,Moderate,Distracted Driving
